njobs,time,makespan JSSP,makespan naive,JSSP best bound
4,4,220,455,220
6,6,280,685,280
8,8,400,915,400
10,10,400,1170,400
12,12,520,1400,520
14,14,580,1625,570
16,16,640,1855,630
18,18,760,2085,750
20,20,760,2340,750
22,22,880,2570,870
24,24,940,2800,900
